Distance (m),Elevation (m),X (EPSG:3395),Y (EPSG:3395)
884.68,481.23,9469910.29,2722660.78
890.28,480.72,9469915.88,2722661.08
895.88,480.85,9469921.47,2722661.39
901.48,480.79,9469927.06,2722661.69
907.08,477.99,9469932.65,2722662.00
912.68,477.17,9469938.24,2722662.30
918.28,477.44,9469943.83,2722662.60
923.88,477.76,9469949.42,2722662.91
929.48,481.08,9469955.01,2722663.21
935.08,482.45,9469960.61,2722663.52
940.67,483.06,9469966.20,2722663.82
946.27,482.72,9469971.79,2722664.13
951.87,477.49,9469977.38,2722664.43
957.47,478.41,9469982.97,2722664.73
963.07,478.97,9469988.56,2722665.04
968.67,479.49,9469994.15,2722665.34
974.27,482.26,9469999.74,2722665.65
979.87,483.61,9470005.33,2722665.95
985.47,480.18,9470010.92,2722666.26
991.07,479.54,9470016.52,2722666.56
996.67,481.91,9470022.11,2722666.86
1002.27,481.42,9470027.70,2722667.17
1007.87,480.65,9470033.29,2722667.47
1013.47,477.47,9470038.88,2722667.78
1019.06,476.28,9470044.47,2722668.08
1024.66,475.94,9470050.06,2722668.38
1030.26,476.00,9470055.65,2722668.69
1035.86,476.64,9470061.24,2722668.99
1041.46,478.36,9470066.83,2722669.30
1047.06,479.57,9470072.42,2722669.60
1052.66,481.82,9470078.02,2722669.91
1058.26,482.48,9470083.61,2722670.21
1063.86,479.66,9470089.20,2722670.51
1069.46,479.96,9470094.79,2722670.82
1075.06,478.83,9470100.38,2722671.12
1080.66,477.95,9470105.97,2722671.43
1086.26,479.36,9470111.56,2722671.73
1091.85,481.60,9470117.15,2722672.04
1097.45,480.52,9470122.74,2722672.34
1103.05,482.79,9470128.33,2722672.64
1108.65,483.49,9470133.93,2722672.95
1114.25,478.10,9470139.52,2722673.25
1119.85,481.85,9470145.11,2722673.56
